Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
B_3_33_2	B_3_33_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34899180.0	0.0	36-150	56.0	30.792040245027792	147.6143021985044	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_3_34_1	B_3_34_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38581521.0	0.0	36-150	55.0	34.05812825694155	147.23883646266822	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_3_34_2	B_3_34_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38581521.0	0.0	36-150	55.0	28.655614078157083	147.67902838770922	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_3_35_1	B_3_35_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36076974.0	0.0	36-150	55.0	34.45394876286024	147.44565672276173	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_3_35_2	B_3_35_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36076974.0	0.0	36-150	55.0	29.67859457665558	147.65365437799744	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_3_36_1	B_3_36_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37846325.0	0.0	36-150	55.0	35.385811033077566	146.99435379789188	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_3_36_2	B_3_36_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37846325.0	0.0	36-150	56.0	30.149719180494028	147.7166754235715	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
B_3_38_1	B_3_38_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32056712.0	0.0	36-150	54.0	39.56368322657172	145.29913931909175	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	warn
B_3_38_2	B_3_38_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32056712.0	0.0	36-150	55.0	38.752197169214554	145.97198324644148	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	warn
B_3_39_1	B_3_39_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41602071.0	0.0	36-150	55.0	37.110222775800864	147.25513595224623	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_3_39_2	B_3_39_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41602071.0	0.0	36-150	55.0	32.206807964919996	147.49652309376617	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_3_3_1	B_3_3_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30947185.0	0.0	36-150	55.0	34.796660485454275	146.35061040285248	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_3_3_2	B_3_3_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30947185.0	0.0	36-150	55.0	33.3320869778563	146.44653815847872	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_3_40_1	B_3_40_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41541943.0	0.0	36-150	55.0	37.7584970971171	147.1612138122668	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_3_40_2	B_3_40_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41541943.0	0.0	36-150	56.0	32.53749763639523	147.58336325289358	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_3_41_1	B_3_41_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41215982.0	0.0	36-150	55.0	35.73252310480496	147.20446699535145	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_3_41_2	B_3_41_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41215982.0	0.0	36-150	55.0	30.687026908710617	147.3757229416492	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_3_42_1	B_3_42_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49236189.0	0.0	36-150	55.0	33.953874069686904	147.21485127534953	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_3_42_2	B_3_42_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49236189.0	0.0	36-150	56.0	28.020589414888985	147.7687314304525	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_3_4_1	B_3_4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35341792.0	0.0	36-150	55.0	32.11350786330401	146.2740313507589	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
B_3_4_2	B_3_4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35341792.0	0.0	36-150	55.0	31.0053782464448	146.10704570385113	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_3_5_1	B_3_5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34212447.0	0.0	36-150	55.0	32.6586855764721	146.1696298133834	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_3_5_2	B_3_5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34212447.0	0.0	36-150	55.0	30.761931976433747	146.64880164812533	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_3_6_1	B_3_6_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41423720.0	0.0	36-150	55.0	31.14132844145808	146.21126074625843	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_3_6_2	B_3_6_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41423720.0	0.0	36-150	55.0	29.34600687501271	146.25550860714586	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_3_8_1	B_3_8_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38701655.0	0.0	36-150	55.0	30.414360361172648	146.62846699966707	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_3_8_2	B_3_8_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38701655.0	0.0	36-150	55.0	29.503180168021466	145.96364026292932	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_3_9_1	B_3_9_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35191668.0	0.0	36-150	55.0	28.33579099619106	146.60420367116444	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_3_9_2	B_3_9_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35191668.0	0.0	36-150	56.0	27.527684462620556	146.4496675463067	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
re_B_1_34_1	re_B_1_34_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25192126.0	0.0	36-150	55.0	35.381454139229646	145.9595304501097	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
re_B_1_34_2	re_B_1_34_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25192126.0	0.0	36-150	56.0	33.840088804088616	146.80120582121572	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
