Sample	Unique Reads	Duplicate Reads
B_3_40_1	15685614.0	25856329.0
B_3_40_2	13516709.0	28025234.0
B_3_41_1	14727511.0	26488471.0
B_3_41_2	12647960.0	28568022.0
B_3_42_1	16717594.0	32518595.0
B_3_42_2	13796271.0	35439918.0
B_3_4_1	11349490.0	23992302.0
B_3_4_2	10957857.0	24383935.0
B_3_5_1	11173336.0	23039111.0
B_3_5_2	10524410.0	23688037.0
B_3_6_1	12899897.0	28523823.0
B_3_6_2	12156208.0	29267512.0
B_3_8_1	11770861.0	26930794.0
B_3_8_2	11418220.0	27283435.0
B_3_9_1	9971838.0	25219830.0
B_3_9_2	9687452.0	25504216.0
re_B_1_34_1	8913341.0	16278785.0
re_B_1_34_2	8525038.0	16667088.0
