Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
B_1_24_2	73.88834471664649	56.0	147.86376041095875	9.090909090909092	32715887.0
B_1_25_1	66.20779245825506	53.0	147.39276091811035	18.181818181818183	39009864.0
B_1_25_2	70.3946810964826	54.0	147.497710655951	9.090909090909092	39009864.0
B_1_26_1	65.2266705633624	55.0	147.4765412032873	18.181818181818183	33735767.0
B_1_26_2	70.08288113897908	56.0	147.62819686299113	9.090909090909092	33735767.0
B_1_27_1	72.60675347324624	56.0	147.29880119828343	18.181818181818183	38202648.0
B_1_27_2	77.71099960347671	56.0	147.8509388668555	9.090909090909092	38202648.0
B_1_28_1	72.34352684994624	55.0	147.59706942682408	18.181818181818183	41418314.0
B_1_28_2	77.06872539314755	55.0	147.57236224052963	9.090909090909092	41418314.0
B_1_29_1	69.9731393516068	55.0	147.56138234852637	18.181818181818183	39759264.0
B_1_29_2	74.76834528079527	55.0	147.9220578881943	9.090909090909092	39759264.0
B_1_30_1	69.16306227682576	55.0	147.56874779825924	18.181818181818183	39925795.0
B_1_30_2	74.56725871866882	56.0	147.86301637825872	9.090909090909092	39925795.0
B_1_31_1	70.97827471529664	56.0	145.46297865083721	18.181818181818183	31172932.0
B_1_31_2	71.25000987066834	56.0	145.33773303711052	9.090909090909092	31172932.0
B_1_32_1	70.63003788491943	55.0	146.91190846870686	9.090909090909092	45241795.0
B_1_32_2	72.44408267546629	55.0	146.96451895863106	9.090909090909092	45241795.0
B_1_33_1	72.30433966501181	55.0	146.89670458982923	9.090909090909092	39974690.0
B_1_33_2	72.8780424947368	56.0	146.4907605787562	9.090909090909092	39974690.0
B_1_34_1	49.20113400510051	55.0	146.02223891512335	0.0	9166904.0
B_1_34_2	50.520087331990425	56.0	146.33342053107572	9.090909090909092	9166904.0
B_1_35_1	69.59262803094839	55.0	145.8211378093109	9.090909090909092	29845458.0
B_1_35_2	72.03402652453657	55.0	146.5434104579665	9.090909090909092	29845458.0
B_1_36_1	76.20550558079236	55.0	147.18327221361855	9.090909090909092	56792368.0
B_1_36_2	77.12629650847464	55.0	146.69024228748484	9.090909090909092	56792368.0
B_1_38_1	64.52611049291562	56.0	146.42469315820657	9.090909090909092	31481044.0
B_1_38_2	66.38125654498347	56.0	146.70932355356447	9.090909090909092	31481044.0
B_1_39_1	69.73558101992873	56.0	146.29493569168002	18.181818181818183	32224835.0
B_1_39_2	67.60493101634867	56.0	146.61805064323835	9.090909090909092	32224835.0
B_1_3_1	69.16944464318141	55.0	147.36935770408695	18.181818181818183	38983776.0
B_1_3_2	74.08378854100417	56.0	147.9471112546922	9.090909090909092	38983776.0
B_1_40_1	63.07793732783298	56.0	146.2780199104742	9.090909090909092	36861101.0
B_1_40_2	63.4383998669828	56.0	145.50088598818576	9.090909090909092	36861101.0
B_1_41_1	64.20892065652384	55.0	146.00134848779587	9.090909090909092	40462361.0
B_1_41_2	65.49325636381087	56.0	146.15125929008443	9.090909090909092	40462361.0
B_1_42_1	66.12968910939922	55.0	145.98954373459605	9.090909090909092	37180005.0
B_1_42_2	68.30328122524796	55.0	146.39044919439897	9.090909090909092	37180005.0
B_1_4_1	67.0249715812074	55.0	147.23018567687393	18.181818181818183	34276051.0
B_1_4_2	72.31872817711076	56.0	147.73341427225674	9.090909090909092	34276051.0
B_1_5_1	69.03080961122977	55.0	147.08211448731367	27.27272727272727	45733696.0
B_1_5_2	75.43727759511533	55.0	147.7294473641492	9.090909090909092	45733696.0
B_1_6_1	67.79725385021145	55.0	147.49790324120093	18.181818181818183	39708430.0
B_1_6_2	72.86083992537579	56.0	147.5350755746324	9.090909090909092	39708430.0
B_1_8_1	75.91368608375556	55.0	147.2953019460128	18.181818181818183	35742416.0
B_1_8_2	80.3709877664038	55.0	147.71249310622986	9.090909090909092	35742416.0
B_1_9_1	68.98524574066626	55.0	147.4936289307057	18.181818181818183	41878135.0
B_1_9_2	74.64430487313143	55.0	147.8501518274393	9.090909090909092	41878135.0
B_2_10_1	69.55229446054797	55.0	146.6661867083209	9.090909090909092	42878721.0
B_2_10_2	70.61912691009475	55.0	146.53842606452744	9.090909090909092	42878721.0
B_2_11_1	67.25799482676152	55.0	146.60547878413354	9.090909090909092	31691046.0
B_2_11_2	68.5755488956405	55.0	146.51413241456277	9.090909090909092	31691046.0
B_2_12_1	69.60232366817431	55.0	147.04460441765232	9.090909090909092	35008640.0
B_2_12_2	68.08817493558409	55.0	144.5613713071973	9.090909090909092	35008640.0
B_2_13_1	64.95090774784109	56.0	145.78258301829078	9.090909090909092	28641369.0
B_2_13_2	66.26193173370206	56.0	146.28834204817514	9.090909090909092	28641369.0
B_2_14_1	73.79791129903222	55.0	146.51204028295277	9.090909090909092	41107215.0
B_2_14_2	73.73831786051461	56.0	146.17460810711697	9.090909090909092	41107215.0
B_2_15_1	68.06546546560136	55.0	146.59668029150552	9.090909090909092	34751726.0
B_2_15_2	69.32199612357687	56.0	146.37692815602887	9.090909090909092	34751726.0
B_2_16_1	73.38649396604764	55.0	146.42515687966315	9.090909090909092	40927389.0
B_2_16_2	74.29741270222627	55.0	146.37238828013193	9.090909090909092	40927389.0
B_2_17_1	73.27764315732222	54.0	146.15243144101515	9.090909090909092	36765276.0
B_2_17_2	74.65034738666736	54.0	146.32216480572592	9.090909090909092	36765276.0
B_2_18_1	68.82412778466875	55.0	146.6114075036927	9.090909090909092	32139056.0
B_2_18_2	70.35365116880459	55.0	146.38288296333283	9.090909090909092	32139056.0
B_2_19_1	69.51180780191669	55.0	145.82761016297033	9.090909090909092	30637972.0
B_2_19_2	69.72875703551111	55.0	145.73887694002724	9.090909090909092	30637972.0
B_2_20_1	64.97317155012124	54.0	146.56140048634043	9.090909090909092	29643845.0
B_2_20_2	65.26577961777755	55.0	145.38904356030739	9.090909090909092	29643845.0
B_2_21_1	69.12950001537527	55.0	146.58749345538092	9.090909090909092	32200117.0
B_2_21_2	70.26904425721894	55.0	146.26772902719577	9.090909090909092	32200117.0
B_2_22_1	70.00142502353864	55.0	146.34662695593963	9.090909090909092	34287293.0
B_2_22_2	71.13397470702206	55.0	146.4445967198402	9.090909090909092	34287293.0
B_2_23_1	70.26000304465245	55.0	146.56999124075534	9.090909090909092	34823779.0
B_2_23_2	71.37760500765893	55.0	146.59067380366733	9.090909090909092	34823779.0
B_2_24_1	72.82854705378071	55.0	146.78919432547625	9.090909090909092	33205183.0
B_2_24_2	72.68442425824026	56.0	146.1827499941801	9.090909090909092	33205183.0
B_2_25_1	75.3811661421373	56.0	145.96737344400574	9.090909090909092	38807743.0
B_2_25_2	75.38308942597627	56.0	145.87281525235827	9.090909090909092	38807743.0
B_2_26_1	69.91767062567033	55.0	145.8802074985476	9.090909090909092	29723196.0
B_2_26_2	69.66645419360894	55.0	145.61173394678016	9.090909090909092	29723196.0
B_2_27_1	68.29863074960659	55.0	146.38897759726473	9.090909090909092	29963975.0
B_2_27_2	69.05818816824365	55.0	146.30052047500374	9.090909090909092	29963975.0
B_2_28_1	70.18832029244189	55.0	146.25331125134284	9.090909090909092	31511652.0
B_2_28_2	71.34972980190456	55.0	146.1669861675294	9.090909090909092	31511652.0
B_2_29_1	68.82375565266898	55.0	146.6517809153982	9.090909090909092	34982066.0
B_2_29_2	69.67496608444344	55.0	146.3951756308504	9.090909090909092	34982066.0
B_2_30_1	71.01925449535881	55.0	146.3651178354653	9.090909090909092	38481878.0
B_2_30_2	71.72977589668659	55.0	146.30312132895386	9.090909090909092	38481878.0
B_2_31_1	63.91788516834806	56.0	146.1470790579111	9.090909090909092	31988361.0
B_2_31_2	63.682572561738596	56.0	145.16063576999147	9.090909090909092	31988361.0
B_2_32_1	64.17586392369492	56.0	145.38864236254557	9.090909090909092	28722646.0
B_2_32_2	65.86057489712633	56.0	145.89608857763312	9.090909090909092	28722646.0
