Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
B_2_18_1	69.52445849337944	55.0	150.0	9.090909090909092	33179920.0
B_2_18_2	70.25954483169642	55.0	150.0	9.090909090909092	33179920.0
B_2_19_1	70.85558314955347	55.0	150.0	9.090909090909092	31779652.0
B_2_19_2	70.24001182577545	56.0	150.0	9.090909090909092	31779652.0
B_2_20_1	65.56411042718071	54.0	150.0	9.090909090909092	30941239.0
B_2_20_2	65.23800865235691	55.0	150.0	9.090909090909092	30941239.0
B_2_21_1	69.93286851711721	55.0	150.0	9.090909090909092	33297333.0
B_2_21_2	70.20102084282615	55.0	150.0	9.090909090909092	33297333.0
B_2_22_1	70.96516786933597	55.0	150.0	9.090909090909092	35317307.0
B_2_22_2	71.42325382470418	55.0	150.0	9.090909090909092	35317307.0
B_2_23_1	71.04189862509834	55.0	150.0	9.090909090909092	35927795.0
B_2_23_2	71.36665227240917	55.0	150.0	9.090909090909092	35927795.0
B_2_24_1	73.76760832001804	55.0	150.0	9.090909090909092	34295380.0
B_2_24_2	72.94877659180067	56.0	150.0	9.090909090909092	34295380.0
B_2_25_1	76.97080792105936	56.0	150.0	9.090909090909092	40259953.0
B_2_25_2	76.16313022663753	56.0	150.0	9.090909090909092	40259953.0
B_2_26_1	71.34251352896271	55.0	150.0	9.090909090909092	30861891.0
B_2_26_2	70.34167423261319	55.0	150.0	9.090909090909092	30861891.0
B_2_27_1	69.29137909557734	55.0	150.0	9.090909090909092	30974219.0
B_2_27_2	69.3417173226056	56.0	150.0	9.090909090909092	30974219.0
B_2_28_1	71.37685166788049	55.0	150.0	9.090909090909092	32573771.0
B_2_28_2	71.9364080247378	56.0	150.0	9.090909090909092	32573771.0
B_2_29_1	69.65593736159592	55.0	150.0	9.090909090909092	36080966.0
B_2_29_2	69.75989148249795	55.0	150.0	9.090909090909092	36080966.0
B_2_30_1	71.94946397547493	55.0	150.0	9.090909090909092	39757100.0
B_2_30_2	71.87852598341082	55.0	150.0	9.090909090909092	39757100.0
B_2_31_1	64.79099530206298	56.0	150.0	9.090909090909092	33412373.0
B_2_31_2	63.75785075737415	56.0	150.0	9.090909090909092	33412373.0
B_2_32_1	65.48215257747954	55.0	150.0	9.090909090909092	29794814.0
B_2_32_2	66.52401982835258	56.0	150.0	9.090909090909092	29794814.0
B_2_33_1	65.17568377933829	55.0	150.0	9.090909090909092	35473307.0
B_2_33_2	65.37259734005409	56.0	150.0	9.090909090909092	35473307.0
B_2_34_1	66.0080519308211	55.0	150.0	9.090909090909092	31736600.0
B_2_34_2	65.96109252866782	56.0	150.0	9.090909090909092	31736600.0
B_2_35_1	65.75404252645605	56.0	150.0	9.090909090909092	32673706.0
B_2_35_2	66.02158595083722	56.0	150.0	9.090909090909092	32673706.0
B_2_36_1	71.18843139646206	55.0	150.0	9.090909090909092	33408579.0
B_2_36_2	72.8180216077825	55.0	150.0	9.090909090909092	33408579.0
B_2_38_1	72.4678021989559	55.0	150.0	9.090909090909092	36340726.0
B_2_38_2	71.30584479884845	56.0	150.0	9.090909090909092	36340726.0
B_2_39_1	75.80040466643901	51.0	150.0	9.090909090909092	34229214.0
B_2_39_2	74.99325316775585	52.0	150.0	9.090909090909092	34229214.0
B_2_3_1	66.55500152479426	55.0	150.0	9.090909090909092	36114559.0
B_2_3_2	66.80985028011898	55.0	150.0	9.090909090909092	36114559.0
B_2_40_1	65.09214048336833	55.0	150.0	9.090909090909092	38890548.0
B_2_40_2	65.83040044092394	55.0	150.0	9.090909090909092	38890548.0
B_2_41_1	61.88314711390754	56.0	150.0	9.090909090909092	29961543.0
B_2_41_2	62.2739281558836	56.0	150.0	9.090909090909092	29961543.0
B_2_42_1	65.93960051158943	55.0	150.0	9.090909090909092	40267487.0
B_2_42_2	66.89806361523004	56.0	150.0	9.090909090909092	40267487.0
