Sample	Unique Reads	Duplicate Reads
B_3_25_2	11440016.0	27206478.0
B_3_26_1	12820141.0	25576902.0
B_3_26_2	11053680.0	27343363.0
B_3_27_1	13524974.0	29347826.0
B_3_27_2	11441447.0	31431353.0
B_3_28_1	12353299.0	27059094.0
B_3_28_2	10391773.0	29020620.0
B_3_29_1	13050308.0	29712147.0
B_3_29_2	10973844.0	31788611.0
B_3_30_1	12001124.0	27243261.0
B_3_30_2	10280033.0	28964352.0
B_3_31_1	15247894.0	27801374.0
B_3_31_2	13044511.0	30004757.0
B_3_32_1	16988810.0	31609091.0
B_3_32_2	14948387.0	33649514.0
B_3_33_1	12520548.0	23327669.0
B_3_33_2	10939838.0	24908379.0
B_3_34_1	13221045.0	26348501.0
B_3_34_2	11271696.0	28297850.0
B_3_35_1	12504742.0	24539876.0
B_3_35_2	10921185.0	26123433.0
B_3_36_1	13435685.0	25300171.0
B_3_36_2	11591418.0	27144438.0
B_3_38_1	12800755.0	20528495.0
B_3_38_2	12614926.0	20714324.0
B_3_39_1	15537696.0	27166541.0
B_3_39_2	13688793.0	29015444.0
B_3_3_1	10866609.0	21043207.0
B_3_3_2	10611709.0	21298107.0
B_3_40_1	15808006.0	26783806.0
B_3_40_2	13758933.0	28832879.0
B_3_41_1	14838014.0	27489734.0
B_3_41_2	12908885.0	29418863.0
B_3_42_1	16775168.0	33656854.0
B_3_42_2	13962644.0	36469378.0
B_3_4_1	11482746.0	25060225.0
B_3_4_2	11351043.0	25191928.0
B_3_5_1	11241086.0	24024998.0
B_3_5_2	10872941.0	24393143.0
B_3_6_1	13007639.0	29878530.0
B_3_6_2	12631355.0	30254814.0
B_3_8_1	11878927.0	28244980.0
B_3_8_2	11780865.0	28343042.0
B_3_9_1	9986499.0	26376613.0
B_3_9_2	9942655.0	26420457.0
re_B_1_34_1	8945224.0	17177841.0
re_B_1_34_2	8786001.0	17337064.0
